"ZIP","County","Pop","ED","HHIncome","Tmax","Ozone"
94066,6081,43990,491,121125,26.3,35
94070,6081,30261,314,129583,24,32.7
94080,6081,65093,659,132569,25.4,35.5
94085,6085,23588,162,119653,25.6,39.3
94086,6085,49253,295,143723,25.9,36.8
94087,6085,57241,317,168816,25.8,40.8
94089,6085,21382,151,97500,25.8,34.3
94102,6075,36186,525,103190,27.9,30.2
94103,6075,33725,366,200601,25.2,33.8
94105,6075,8705,98,200807,24.3,28
94107,6075,26448,262,218068,26.6,28.5
94108,6075,13380,185,104022,26.5,29.8
94109,6075,54666,611,169056,25.1,28.3
94110,6075,71659,726,214107,27.5,32.7
94112,6081,83017,887,118600,27,31.8
94114,6075,31853,322,199219,25.7,31.1
94115,6075,35270,366,202679,26,34.7
94116,6075,44558,529,129875,25.3,30.7
94117,6075,37308,361,214727,26.9,35.4
94118,6075,42144,460,150074,24.9,32.7
94122,6075,56928,669,153304,27.3,37.1
94123,6075,26185,276,210864,26.5,29.8
94124,6075,38002,433,158375,26.7,30.5
94127,6075,18687,215,170000,26.8,32.7
94129,6075,3449,38,177969,26.6,33.2
94131,6075,28659,322,187868,27.4,33.5
94133,6075,28891,290,195577,25.1,27.5
94134,6081,41872,501,86369,27.7,31.9
94301,6085,18093,88,235221,19.5,36.6
94303,6081,48270,640,67007,25.8,36.7
94305,6085,14687,122,56840,23.2,36.2
94306,6085,28164,156,149450,25.7,37
